"ID","TERM","DATE_TAKEN","HOURS","HOURS_ATTEMPTED","GRADE_CODE","COURSE_ID","TITLE"
7134,"2016/SP",2016-01-04,3,3,"A","NUR*336","THE PROFESSION OF NURSING: BECOMING INFLUENTIAL"
5237,"2015/SP",2015-01-05,3,3,"B","NUR*680","MANAGEMENT INFORMATION FOR DECISION SUPPORT"
5237,"2016/SP",2016-01-04,5,5,"A","NUR*644","CAPSTONE EXPERIENCE"
5237,"2015/SP",2015-03-02,3,3,"A","NUR*615","MANAGEMENT OF CLINICAL SYSTEMS"
5237,"2015/FA",2015-08-24,3,3,"A","NUR*625","MANAGEMENT OF FISCAL AND OPERATIONAL SYSTEMS"
5237,"2015/SU",2015-05-04,3,3,"A","NUR*635","LEADERSHIP IN ORGANIZATIONAL SYSTEMS"
175,"2015/FA",2015-08-24,5,5,"A","NUR*670","NURSING EDUCATION CAPSTONE"
175,"2015/SP",2015-01-05,3,3,"A","NUR*665","THEORIES AND METHODS OF TEACHING WITH TECHNOLOGIES"
2418,"2016/SP",2016-01-04,1,1,"P","INL*102","INFORMATION LITERACY"
2418,"2015/FA",2015-12-04,0,0,"P","CCS*100","EC STUDENT EXPERIENCE"
9333,"2015/FA",2015-11-19,0,0,"P","CCS*100","EC STUDENT EXPERIENCE"
108,"2015/SP",2015-02-26,0,0,"P","CCS*100","EC STUDENT EXPERIENCE"
6148,"2015/SU",2015-05-04,3,3,"A","BUS*290","INTEGRATED BUSINESS AND MANAGEMENT ASSESSMENT AASB"
5119,"2016/SU",2016-05-02,1,1,"P","INL*102","INFORMATION LITERACY"
6414,"2015/SU",2015-05-04,4,4,"A","NUR*462","NURSING CAPSTONE"
6414,"2015/SP",2015-01-05,4,4,"A","NUR*448","COMMUNITY HEALTH NURSING: CARING FOR THE PUBLIC'S HEALTH"
174,"2015/FA",2015-08-24,3,3,"A","NUR*502","THEORETICAL FOUNDATIONS OF NURSING PRACTICE"
174,"2015/FA",2015-10-19,0,3,"W","NUR*514","PROFESSIONAL ROLE DEVELOPMENT"
174,"2016/SP",2016-01-04,4,4,"A","NUR*541","COMMUNITY NURSING: HUMAN DIVERSITY AND PUBLIC HEALTH"
174,"2016/SU",2016-05-02,3,3,"B","NUR*500","EMERGING ADVANCED PRACTICE ROLES: THE ART AND SCIENCE OF NURSING"
785,"2015/SP",2015-03-06,0,0,"P","CCS*100","EC STUDENT EXPERIENCE"
3230,"2015/SU",2015-06-29,3,3,"A","PSY*235","LIFESPAN DEVELOPMENTAL PSYCHOLOGY"
3230,"2015/SP",2015-03-02,3,3,"A","HSC*106","ANATOMY AND PHYSIOLOGY II (NON LAB)"
3230,"2016/SP",2016-01-04,3,3,"B","NUR*213","HEALTH DIFFERENCES ACROSS THE LIFE SPAN 3"
3230,"2015/SP",2015-01-05,3,3,"A","HSC*105","ANATOMY AND PHYSIOLOGY I (NON LAB)"
3230,"2015/SU",2015-05-04,3,3,"A","BIO*212","MICROBIOLOGY"
3230,"2015/FA",2015-08-24,3,3,"C","NUR*211","HEALTH DIFFERENCES ACROSS THE LIFESPAN 1"
3230,"2015/FA",2015-10-19,3,3,"C","NUR*212","HEALTH DIFFERENCES ACROSS THE LIFESPAN 2"
3230,"2015/SU",2015-06-26,0,0,"P","CCS*100","EC STUDENT EXPERIENCE"
6661,"2015/FA",2015-08-24,3,3,"A","NUR*446","TEACHING AND LEARNING IN A DIVERSE SOCIETY"
6661,"2015/SU",2015-05-04,4,4,"A","NUR*342","HOLISTIC HEALTH CARE ACROSS THE LIFESPAN"
6661,"2016/SP",2016-01-04,4,4,"A","NUR*456","LEADERSHIP AND MANAGEMENT IN NURSING"
6661,"2016/SU",2016-05-02,4,4,"A","NUR*448","COMMUNITY HEALTH NURSING: CARING FOR THE PUBLIC'S HEALTH"
6661,"2015/SU",2015-06-29,2,2,"A","NUR*338","INTRODUCTION TO INFORMATICS  FOR NURSES"
636,"2015/SP",2015-01-05,5,5,"A","NUR*685","NURSING  INFORMATICS CAPSTONE"
5878,"2015/SU",2015-05-04,3,3,"A","PSY*420","HUMAN MOTIVATION"
5878,"2015/SU",2015-06-29,3,3,"B","LA*498","LIBERAL ARTS CAPSTONE"
5878,"2015/SP",2015-03-02,1,1,"P","INL*102","INFORMATION LITERACY"
5878,"2015/SP",2015-03-02,3,3,"A","ECON*360","INTERNATIONAL ECONOMICS"
5878,"2015/SP",2015-01-05,3,3,"B","BUS*323","BUSINESS ETHICS"
3392,"2015/SU",2015-05-04,3,3,"A","CCS*120","EC SUCCESS SEMINAR"
3392,"2015/SP",2015-04-14,0,0,"P","CCS*100","EC STUDENT EXPERIENCE"
5484,"2016/SU",2016-05-02,3,3,"A","BUS*530","PROJECT MANAGEMENT PRINCIPLES AND APPLICATION"
5484,"2016/SU",2016-05-02,3,3,"B","BUS*553","ORGANIZATIONAL BEHAVIOR"
5484,"2016/SP",2016-02-29,3,3,"A","BUS*502","GLOBAL BUSINESS ENVIRONMENT"
5484,"2016/SP",2016-01-04,3,3,"A","BUS*501","BUSINESS COMMUNICATIONS"
5484,"2016/SP",2016-02-29,3,3,"A","BUS*504","HUMAN RESOURCE MANAGEMENT"
3094,"2015/SP",2015-03-02,3,3,"A","BUS*530","PROJECT MANAGEMENT PRINCIPLES AND APPLICATION"
3094,"2015/SP",2015-01-05,3,3,"A","CYS*575","IT RISK ANALYSIS AND MANAGEMENT"
3094,"2015/SU",2015-05-04,4,4,"A","CYS*595","CAPSTONE PROJECT IN CYBERSECURITY"
3094,"2015/SU",2015-06-29,3,3,"A","BUS*570","INFORMATION TECHNOLOGY"
3593,"2015/SP",2015-03-13,0,0,"P","CCS*100","EC STUDENT EXPERIENCE"
6863,"2015/SU",2015-06-10,0,0,"P","CCS*100","EC STUDENT EXPERIENCE"
4167,"2015/SP",2015-01-05,3,3,"B","ACC*211","FINANCIAL ACCOUNTING"
4167,"2016/SP",2016-02-29,3,3,"B","BUS*341","MANAGEMENT CONCEPTS AND APPLICATIONS"
4167,"2016/SP",2016-02-29,3,3,"A","MUS*211","HISTORY OF ROCK AND ROLL 2"
4167,"2015/SP",2015-03-02,3,3,"A","HIS*101","UNITED STATES HISTORY I"
4138,"2015/SP",2015-03-02,3,3,"C","HSC*404","ORGANIZATIONAL BEHAVIOR IN HEALTH CARE ENVIRONMENTS"
4138,"2015/SP",2015-01-05,3,3,"B","BUS*312","MANAGING HUMAN RESOURCES"
9590,"2015/SU",2015-06-29,0,3,"W","NUR*108","TRANSITION TO THE PROFESSIONAL NURSE ROLE"
9590,"2015/SP",2015-01-05,3,3,"C","CCS*120","EC SUCCESS SEMINAR"
9590,"2015/SU",2015-06-29,3,3,"D","NUR*105","ESSENTIALS OF NURSING CARE: HEALTH DIFFERENCES"
9590,"2015/FA",2015-10-19,3,3,"D","NUR*105","ESSENTIALS OF NURSING CARE: HEALTH DIFFERENCES"
9590,"2015/SP",2015-03-02,1,1,"P","INL*102","INFORMATION LITERACY"
7073,"2015/SP",2015-03-02,3,3,"B","BUS*495","BUSINESS STRATEGY"
6384,"2015/SU",2015-05-04,3,3,"B","NUR*336","THE PROFESSION OF NURSING: BECOMING INFLUENTIAL"
6384,"2015/SP",2015-01-05,2,2,"C","NUR*338","INTRODUCTION TO INFORMATICS  FOR NURSES"
9048,"2015/SP",2015-03-02,0,3,"W","ART*102","HISTORY OF WESTERN ART SINCE THE 15TH CENTURY"
2260,"2016/SP",2016-02-29,3,3,"B","HUM*230","THE ETHICS OF FRIENDSHIP"
2260,"2015/FA",2015-08-24,1,1,"P","INL*102","INFORMATION LITERACY"
2260,"2016/SP",2016-01-04,3,3,"A","HSC*235","SEX, GENDER AND HEALTH"
2260,"2015/SU",2015-07-27,0,0,"P","CCS*100","EC STUDENT EXPERIENCE"
2260,"2016/SU",2016-05-02,3,3,"B","SOC*221","WHY WE OVEREAT: PERSPECTIVES ON NUTRITION"
5741,"2015/FA",2015-08-24,0,3,"W","MAT*116","PRECALCULUS ALGEBRA"
5741,"2016/SP",2016-01-04,3,3,"A","ENG*201","WRITING FOR THE PROFESSIONS "
5741,"2015/SP",2015-03-02,1,1,"P","INL*102","INFORMATION LITERACY"
5741,"2015/SP",2015-03-16,0,0,"P","CCS*100","EC STUDENT EXPERIENCE"
8389,"2015/SU",2015-05-04,3,3,"B","CJ*301","JUVENILE DELINQUENCY AND JUSTICE"
8389,"2015/SU",2015-05-04,3,3,"A","CJ*315","GANGS IN AMERICA"
8872,"2016/SP",2016-02-29,3,3,"B","COMM*120","FOUNDATIONS OF COMMUNICATION"
8872,"2015/FA",2015-08-24,3,3,"A","BUS*299","BUSINESS AND MANAGEMENT CAPSTONE"
3243,"2015/SP",2015-04-22,0,0,"P","CCS*100","EC STUDENT EXPERIENCE"
783,"2016/SP",2016-01-04,3,3,"A","HSC*518","ETHICS AND HEALTHCARE"
783,"2015/FA",2015-10-19,3,3,"A","NUR*514","PROFESSIONAL ROLE DEVELOPMENT"
783,"2015/FA",2015-08-24,3,3,"A","NUR*502","THEORETICAL FOUNDATIONS OF NURSING PRACTICE"
783,"2016/SP",2016-02-29,4,4,"A","NUR*531","HEALTH CARE DELIVERY SYSTEMS: SOCIAL, POLITICAL, AND ECONOMIC INFLUENCES"
4426,"2015/SU",2015-05-04,0,3,"W","HINF*521","DATA, INFORMATION AND KNOWLEDGE"
4426,"2015/SP",2015-03-02,0,3,"F","NUR*680","MANAGEMENT INFORMATION FOR DECISION SUPPORT"
4426,"2015/FA",2015-10-19,3,3,"B","NUR*680","MANAGEMENT INFORMATION FOR DECISION SUPPORT"
4426,"2016/SP",2016-01-04,3,3,"B","NUR*506","ADVANCED PHARMACOLOGY"
4809,"2015/FA",2015-11-08,0,0,"P","CCS*100","EC STUDENT EXPERIENCE"
4809,"2016/SU",2016-05-02,3,3,"A","TECH*230","TECHNOLOGY AND SOCIETY"
8189,"2016/SP",2016-01-04,3,3,"C","ENG*201","WRITING FOR THE PROFESSIONS "
8189,"2015/FA",2015-08-24,1,1,"P","INL*102","INFORMATION LITERACY"
8189,"2016/SP",2016-02-29,0,3,"W","PBH*321","INTRODUCTION TO EPIDEMIOLOGY"
8189,"2015/FA",2015-09-06,0,0,"P","CCS*100","EC STUDENT EXPERIENCE"
8189,"2015/FA",2015-08-24,2,2,"B","NUR*338","INTRODUCTION TO INFORMATICS  FOR NURSES"
1639,"2015/FA",2015-09-02,0,0,"P","CCS*100","EC STUDENT EXPERIENCE"
3924,"2015/FA",2015-08-24,3,3,"A","MLS*500","GRADUATE RESEARCH AND WRITING"
3924,"2015/FA",2015-09-01,0,0,"P","CCS*100","EC STUDENT EXPERIENCE"
5976,"2015/FA",2015-12-07,0,0,"P","CCS*100","EC STUDENT EXPERIENCE"
5976,"2016/SU",2016-05-02,0,3,"F","MAT*215","STATISTICS FOR HEALTH CARE PROFESSIONALS"
5976,"2016/SU",2016-05-02,3,3,"B","ENG*201","WRITING FOR THE PROFESSIONS "
5976,"2016/SP",2016-02-29,1,1,"P","INL*102","INFORMATION LITERACY"
3397,"2015/SP",2015-03-02,3,3,"C","NUR*105","ESSENTIALS OF NURSING CARE: HEALTH DIFFERENCES"
3397,"2015/SU",2015-06-29,3,3,"D","NUR*209","REPRODUCTIVE HEALTH"
3397,"2015/FA",2015-08-24,3,3,"D","NUR*213","HEALTH DIFFERENCES ACROSS THE LIFE SPAN 3"
3397,"2016/SP",2016-02-29,3,3,"D","NUR*209","REPRODUCTIVE HEALTH"
3397,"2016/SP",2016-01-04,3,3,"C","NUR*109","FOUNDATIONS IN NURSING PRACTICE"
3397,"2015/SU",2015-05-04,3,3,"C","NUR*211","HEALTH DIFFERENCES ACROSS THE LIFESPAN 1"
3397,"2015/FA",2015-10-19,3,3,"D","NUR*212","HEALTH DIFFERENCES ACROSS THE LIFESPAN 2"
4210,"2015/SU",2015-06-29,1,1,"P","INL*102","INFORMATION LITERACY"
4210,"2015/SP",2015-01-05,3,3,"A","HSC*320","HEALTH CARE ISSUES IN CULTURALLY DIVERSE POPULATIONS"
4210,"2015/FA",2015-08-26,0,0,"P","CCS*100","EC STUDENT EXPERIENCE"
4210,"2015/FA",2015-10-19,3,3,"C","PBH*342","HOMELESSNESS: SOCIAL AND HEALTH PERSPECTIVES"
4210,"2016/SU",2016-05-02,3,3,"A","PBH*346","POST TRAUMATIC STRESS DISORDER: A GATHERING STORM"
4210,"2015/FA",2015-08-24,3,3,"A","HSC*407","HEALTH AND WELLNESS"
4210,"2015/SU",2015-06-29,3,3,"B","HSC*312","ETHICS OF HEALTH CARE"
4210,"2015/FA",2015-08-24,3,3,"B","HSC*445","INTRODUCTION TO HEALTH CARE INFORMATICS"
4210,"2015/SU",2015-06-29,3,3,"B","HSC*402","MANAGING STRESS"
4210,"2015/SP",2015-01-05,0,1,"W","INL*102","INFORMATION LITERACY"
4210,"2015/SP",2015-03-02,3,3,"A","HSC*403","NUTRITION FOR WELLNESS"
4210,"2016/SU",2016-05-02,3,3,"A","HSC*310","WRITING AND COMMUNICATION IN THE HEALTH SCIENCE PROFESSIONS"
5111,"2015/SP",2015-01-05,4,4,"A","NUR*462","NURSING CAPSTONE"
8325,"2015/SU",2015-05-04,3,3,"A","NUR*615","MANAGEMENT OF CLINICAL SYSTEMS"
3380,"2015/SP",2015-01-05,3,3,"A","NUR*690","LEADERSHIP IN NURSING EDUCATION"
3380,"2015/SU",2015-05-04,5,5,"A","NUR*670","NURSING EDUCATION CAPSTONE"
3380,"2015/SP",2015-03-02,3,3,"A","NUR*665","THEORIES AND METHODS OF TEACHING WITH TECHNOLOGIES"
8369,"2015/FA",2015-10-19,0,0,"F","NUR*514","PROFESSIONAL ROLE DEVELOPMENT"
8369,"2015/FA",2015-10-19,0,4,"F","NUR*531","HEALTH CARE DELIVERY SYSTEMS: SOCIAL, POLITICAL, AND ECONOMIC INFLUENCES"
8369,"2015/SU",2015-05-04,4,4,"B","NUR*541","COMMUNITY NURSING: HUMAN DIVERSITY AND PUBLIC HEALTH"
8369,"2016/SU",2016-05-02,0,3,"F","NUR*500","EMERGING ADVANCED PRACTICE ROLES: THE ART AND SCIENCE OF NURSING"
8369,"2015/SP",2015-01-05,4,4,"A","NUR*342","HOLISTIC HEALTH CARE ACROSS THE LIFESPAN"
8369,"2015/SP",2015-01-05,4,4,"A","NUR*513","RESEARCH AND EVIDENCE-BASED PRACTICE"
8369,"2016/SU",2016-05-02,0,4,"F","NUR*531","HEALTH CARE DELIVERY SYSTEMS: SOCIAL, POLITICAL, AND ECONOMIC INFLUENCES"
8369,"2015/SU",2015-06-29,3,3,"B","NUR*502","THEORETICAL FOUNDATIONS OF NURSING PRACTICE"
